Measurement date,Station code,Item code,Average value,Instrument status
01-01-2017 01:00,107,3,0.046,0
01-01-2017 01:00,107,5,0.8,0
01-01-2017 01:00,107,6,0.002,0
01-01-2017 01:00,107,8,54,0
01-01-2017 01:00,107,9,53,0
01-01-2017 01:00,108,1,0.004,0
01-01-2017 01:00,108,3,0.045,0
01-01-2017 01:00,108,5,0.9,0
01-01-2017 01:00,108,6,0.003,0
01-01-2017 01:00,108,8,71,0
01-01-2017 01:00,108,9,62,0
01-01-2017 01:00,109,1,0.005,0
01-01-2017 01:00,109,3,0.05,0
01-01-2017 01:00,109,5,1.2,0
01-01-2017 01:00,109,6,0.002,0
01-01-2017 01:00,109,8,62,0
01-01-2017 01:00,109,9,49,0
01-01-2017 01:00,110,1,0.005,0
01-01-2017 01:00,110,3,0.043,0
01-01-2017 01:00,110,5,0.8,0
01-01-2017 01:00,110,6,0.002,0
01-01-2017 01:00,110,8,75,0
01-01-2017 01:00,110,9,52,0
01-01-2017 01:00,111,1,0.005,0
01-01-2017 01:00,111,3,0.046,0
01-01-2017 01:00,111,5,0.9,0
01-01-2017 01:00,111,6,0.002,0
01-01-2017 01:00,111,8,61,0
01-01-2017 01:00,111,9,38,0
01-01-2017 01:00,112,1,0.005,0
01-01-2017 01:00,112,3,0.046,0
01-01-2017 01:00,112,5,1,0
01-01-2017 01:00,112,6,0.002,0
01-01-2017 01:00,112,8,60,0
01-01-2017 01:00,112,9,52,0
01-01-2017 01:00,113,1,0.006,0
01-01-2017 01:00,113,3,0.051,0
01-01-2017 01:00,113,5,1,0
01-01-2017 01:00,113,6,0.002,0
01-01-2017 01:00,113,8,71,0
01-01-2017 01:00,113,9,37,0
01-01-2017 01:00,114,1,0.009,0
01-01-2017 01:00,114,3,0.053,0
01-01-2017 01:00,114,5,1.6,0
01-01-2017 01:00,114,6,0.002,0
01-01-2017 01:00,114,8,74,0
01-01-2017 01:00,114,9,60,0
01-01-2017 01:00,115,1,0.005,0
01-01-2017 01:00,115,3,0.053,0
01-01-2017 01:00,115,5,1.3,0
01-01-2017 01:00,115,6,0.002,0
01-01-2017 01:00,115,8,74,0
01-01-2017 01:00,115,9,49,0
01-01-2017 01:00,116,1,0.006,0
01-01-2017 01:00,116,3,0.065,0
01-01-2017 01:00,116,5,1.3,0
01-01-2017 01:00,116,6,0.002,0
01-01-2017 01:00,116,8,87,0
01-01-2017 01:00,116,9,69,0
01-01-2017 01:00,117,1,0.007,0
01-01-2017 01:00,117,3,0.041,0
01-01-2017 01:00,117,5,1.2,0
01-01-2017 01:00,117,6,0.003,0
01-01-2017 01:00,117,8,64,0
01-01-2017 01:00,117,9,61,0
01-01-2017 01:00,118,1,0.004,0
01-01-2017 01:00,118,3,0.059,0
01-01-2017 01:00,118,5,1.3,0
01-01-2017 01:00,118,6,0.001,0
01-01-2017 01:00,118,8,66,0
01-01-2017 01:00,118,9,45,0
01-01-2017 01:00,119,1,0.004,0
01-01-2017 01:00,119,3,0.034,0
01-01-2017 01:00,119,5,1.5,0
01-01-2017 01:00,119,6,0.004,0
01-01-2017 01:00,119,8,68,0
01-01-2017 01:00,119,9,54,0
01-01-2017 01:00,120,1,0.006,0
01-01-2017 01:00,120,3,0.06,0
01-01-2017 01:00,120,5,1.2,0
01-01-2017 01:00,120,6,0.003,0
01-01-2017 01:00,120,8,62,0
01-01-2017 01:00,120,9,49,0
01-01-2017 01:00,121,1,0.006,0
01-01-2017 01:00,121,3,0.075,0
01-01-2017 01:00,121,5,1.5,0
01-01-2017 01:00,121,6,0.004,0
01-01-2017 01:00,121,8,70,0
01-01-2017 01:00,121,9,51,0
01-01-2017 01:00,122,1,0.005,0
01-01-2017 01:00,122,3,0.038,0
01-01-2017 01:00,122,5,1.2,0
01-01-2017 01:00,122,6,0.005,0
01-01-2017 01:00,122,8,86,0
01-01-2017 01:00,122,9,54,0
01-01-2017 01:00,123,1,0.005,0
01-01-2017 01:00,123,3,0.038,0
01-01-2017 01:00,123,5,0.8,0
01-01-2017 01:00,123,6,0.002,0
01-01-2017 01:00,123,8,61,0
01-01-2017 01:00,123,9,44,0
01-01-2017 01:00,124,1,0.005,0
01-01-2017 01:00,124,3,0.036,0
01-01-2017 01:00,124,5,1.3,0
01-01-2017 01:00,124,6,0.003,0
01-01-2017 01:00,124,8,65,0
01-01-2017 01:00,124,9,43,0
01-01-2017 01:00,125,1,0.004,0
01-01-2017 01:00,125,3,0.041,0
01-01-2017 01:00,125,5,0.9,0
01-01-2017 01:00,125,6,0.002,0
01-01-2017 01:00,125,8,78,0
01-01-2017 01:00,125,9,63,0
01-01-2017 02:00,101,1,0.004,0
01-01-2017 02:00,101,3,0.056,0
01-01-2017 02:00,101,5,1.2,0
01-01-2017 02:00,101,6,0.002,0
01-01-2017 02:00,101,8,70,0
01-01-2017 02:00,101,9,59,0
01-01-2017 02:00,102,1,0.005,0
01-01-2017 02:00,102,3,0.063,0
01-01-2017 02:00,102,5,1.2,0
01-01-2017 02:00,102,6,0.002,0
01-01-2017 02:00,102,8,73,0
